iter	RMSE
0	1758.376608
1	1623.903375
2	1504.549238
3	1386.771195
4	1282.212851
5	1185.834543
6	1101.847395
7	1028.304206
8	956.3692181
9	902.6820407
10	836.1934139
11	782.4461181
12	734.2532274
13	694.0085175
14	652.2086681
15	609.2027569
16	578.0960668
17	543.9627953
18	512.2185068
19	479.9495713
20	452.6095623
21	427.4213865
22	405.0605069
23	383.9579297
24	363.0166514
25	346.3361894
26	332.103158
27	316.3209322
28	302.3546369
29	293.3875285
30	281.6494868
31	270.7256481
32	262.2342778
33	254.2347891
34	246.1894089
35	237.8278283
36	231.6694404
37	225.1378652
38	218.9495375
39	213.7661499
40	208.801883
41	204.6741826
42	200.2019781
43	196.6019381
44	192.1712988
45	189.6126413
46	186.197991
47	183.4986658
48	180.314713
49	177.2795825
50	175.3230333
51	172.9643526
52	170.110142
53	167.0660102
54	164.7142582
55	162.710025
56	160.9446532
57	159.1033886
58	156.1237129
59	154.2099971
60	152.0108346
61	150.5818076
62	148.3272157
63	146.7941288
64	145.679334
65	143.2074486
66	140.8258224
67	137.9076356
68	136.7830203
69	135.6463711
70	134.4557321
71	133.6067622
72	132.3807792
73	129.9056806
74	128.7044138
75	127.4396166
76	126.3785375
77	124.6343549
78	123.7015006
79	122.6670597
80	120.9570681
81	119.1976622
82	118.712084
83	117.3383207
84	116.2312875
85	114.8675044
86	113.997
87	113.171372
88	112.5878878
89	110.9088296
90	109.3901067
91	108.4984213
92	108.0905771
93	106.6310229
94	105.0257116
95	104.0417993
96	103.0557058
97	102.2979325
98	101.8971322
99	100.9406662
