iter	Passed	Remaining
0	0	91
1	1	89
2	2	86
3	3	84
4	4	82
5	5	82
6	6	81
7	7	80
8	7	80
9	8	79
10	9	78
11	10	78
12	11	77
13	12	76
14	13	75
15	14	74
16	15	73
17	16	73
18	16	72
19	17	71
20	18	70
21	19	69
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	26	63
29	26	62
30	27	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	49
44	40	48
45	40	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	47	40
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	21
76	67	20
77	68	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	72	13
84	73	12
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	83	1
98	84	0
99	85	0
