iter	RMSE
0	1867.493562
1	1825.532726
2	1780.018725
3	1735.19179
4	1689.492062
5	1647.754433
6	1606.260834
7	1569.402908
8	1535.960542
9	1501.249237
10	1465.723135
11	1433.086109
12	1401.709448
13	1370.457324
14	1341.620544
15	1313.20046
16	1286.49069
17	1261.415369
18	1235.330581
19	1212.548416
20	1189.177837
21	1165.097836
22	1146.498426
23	1126.399634
24	1107.875961
25	1089.818085
26	1071.576812
27	1053.380077
28	1035.521806
29	1019.850282
30	1007.905954
31	991.1910981
32	975.6771827
33	960.814016
34	946.4285367
35	934.0839377
36	923.6847628
37	911.5509936
38	898.9906347
39	886.2272101
40	876.8313943
41	865.5750437
42	857.0285129
43	847.1826414
44	838.3158373
45	829.2581859
46	820.2482693
47	811.6964693
48	803.8282163
49	795.5380084
50	787.7448118
51	779.449529
52	772.4117853
53	766.523302
54	760.3776409
55	754.2786416
56	747.9113478
57	742.4622408
58	737.3287518
59	731.0401926
60	726.4419536
61	720.1728976
62	715.2297267
63	710.2440565
64	705.3495223
65	700.3072366
66	694.9174896
67	689.4270154
68	684.4727104
69	680.9282544
70	676.7883968
71	673.3252018
72	668.8832416
73	665.7725927
74	661.9139508
75	658.5292588
76	654.5003886
77	651.0263426
78	648.022217
79	644.1348874
80	641.2149349
81	637.0058701
82	632.5000485
83	628.9202496
84	625.5021809
85	622.5214751
86	619.9526878
87	617.3434923
88	614.7514105
89	611.5944875
90	609.030664
91	606.0061688
92	602.578668
93	599.8901368
94	597.1226048
95	594.5212364
96	592.0541499
97	589.5114638
98	587.0023935
99	584.6331135
100	582.6532195
101	580.6311262
102	579.3106025
103	576.8988419
104	574.6199148
105	571.6696544
106	569.0587361
107	567.378811
108	565.2909294
109	563.9547879
110	560.9785935
111	558.9888839
112	556.9318376
113	554.7936089
114	552.7151251
115	550.6201578
116	548.8275759
117	546.7880801
118	544.9422195
119	543.4381726
120	541.8529387
121	540.0837393
122	537.6678662
123	536.3749396
124	535.1111534
125	533.0714839
126	531.6464206
127	530.2740062
128	528.6760249
129	527.3147179
130	525.6690899
131	524.1454888
132	522.760623
133	521.4169802
134	519.9638541
135	518.7184852
136	517.3892581
137	516.0293622
138	514.7741213
139	513.4194038
140	511.5729114
141	509.9561602
142	508.8118856
143	506.8490663
144	505.2379305
145	504.0941926
146	503.1555393
147	502.1089877
148	501.0469552
149	499.948197
150	499.290948
151	498.3995215
152	497.4001654
153	496.1317423
154	494.6378346
155	493.4513745
156	492.124851
157	490.9892235
158	489.0886914
159	487.7325072
160	486.4520137
161	485.4272341
162	483.7454082
163	482.6944469
164	480.9043527
165	479.3584546
166	478.3752661
167	477.4522078
168	476.5184526
169	475.0791213
170	473.4525464
171	472.7181101
172	471.7472388
173	469.6337638
174	468.4388257
175	467.0267412
176	465.752425
177	464.8510372
178	463.7097135
179	461.7151812
180	461.0438392
181	460.1745169
182	459.4006613
183	458.6836774
184	457.6204372
185	456.7987032
186	456.1970787
187	455.2349015
188	454.2307862
189	452.9171381
190	451.6928822
191	450.9757586
192	449.9820578
193	449.0522092
194	447.6709851
195	446.549895
196	445.2717024
197	443.997448
198	443.3455453
199	442.0805638
200	441.3649284
201	440.9015991
202	440.3238398
203	439.1179625
204	438.498688
205	437.8053141
206	436.9948905
207	435.9735268
208	435.5698798
209	434.7272467
210	433.3605883
211	432.6134852
212	431.8966061
213	431.0298161
214	430.5285576
215	429.7393083
216	429.1536945
217	428.0535658
218	427.5842541
219	426.7485148
220	426.152405
221	425.6986619
222	424.9888838
223	424.0898861
224	423.4202719
225	422.6906438
226	422.1875194
227	421.4537968
228	420.8179358
229	420.383395
230	419.8384732
231	418.7256245
232	418.2819149
233	417.6636653
234	417.1956267
235	416.4017657
236	415.5776687
237	414.954428
238	414.6423438
239	414.2150701
240	413.7894572
241	412.9862492
242	412.6135519
243	411.7866596
244	411.17874
245	410.4964939
246	409.8471195
247	409.1743657
248	408.5265825
249	408.2824291
250	407.9321208
251	407.3000724
252	406.7675411
253	405.9037109
254	405.1211387
255	404.5001312
256	403.3782138
257	402.3578072
258	401.8604299
259	401.3297547
260	400.6794277
261	399.9404043
262	399.4283967
263	399.0755182
264	398.6043473
265	398.0444961
266	397.4895397
267	396.8437909
268	396.3376394
269	395.7884926
270	395.4377492
271	394.7192306
272	394.2308579
273	393.8665566
274	393.7110526
275	393.2547753
276	392.6755091
277	392.2420706
278	391.4053642
279	390.777192
280	389.9061099
281	389.6673705
282	389.3460194
283	388.3889686
284	387.6345062
285	387.209742
286	386.6541665
287	385.5570337
288	385.3787487
289	384.7487976
290	384.1718865
291	383.8469869
292	382.9886324
293	382.1376015
294	381.7530617
295	381.0747583
296	380.5654065
297	379.971492
298	379.6746047
299	378.801065
300	378.3820161
301	377.5686849
302	376.9265983
303	376.0987018
304	375.526345
305	374.9958742
306	374.493206
307	374.2895633
308	373.3359661
309	373.1689953
310	372.2624957
311	371.5570428
312	370.8416164
313	370.5552412
314	370.2245431
315	369.6105219
316	369.266619
317	368.8352533
318	368.5130217
319	368.072477
320	367.5748418
321	366.7539088
