iter	Passed	Remaining
0	1	1454
1	2	1013
2	2	898
3	3	816
4	3	752
5	4	731
6	4	703
7	5	711
8	6	707
9	7	697
10	7	684
11	8	678
12	8	643
13	9	635
14	9	626
15	10	620
16	10	626
17	11	625
18	12	634
19	12	621
20	13	618
21	13	617
22	14	600
23	14	603
24	15	593
25	15	588
26	16	586
27	16	583
28	17	579
29	17	581
30	18	578
31	19	575
32	19	573
33	20	571
34	20	571
35	21	568
36	21	567
37	22	565
38	22	564
39	23	565
40	24	566
41	24	565
42	25	557
43	25	558
44	26	558
45	26	556
46	27	554
47	27	554
48	28	555
49	29	554
50	29	552
51	30	552
52	30	552
53	31	553
54	32	553
55	32	552
56	33	551
57	33	551
58	34	551
59	35	551
60	35	551
61	36	549
62	36	549
63	37	551
64	38	550
65	38	551
66	39	551
67	40	551
68	40	552
69	41	552
70	42	551
71	42	553
72	43	551
73	44	550
74	44	549
75	45	548
76	45	548
77	46	548
78	46	547
79	47	547
80	48	545
81	48	545
82	49	545
83	50	546
84	50	545
85	51	544
86	51	544
87	52	545
88	53	544
89	53	543
90	54	542
91	54	541
92	55	541
93	56	540
94	56	540
95	57	540
96	58	540
97	58	541
98	59	540
99	60	540
100	60	540
101	61	540
102	62	540
103	62	540
104	63	540
105	63	538
106	64	538
107	65	537
108	65	538
109	66	538
110	67	537
111	67	535
112	68	535
113	68	534
114	69	534
115	70	534
116	70	533
117	71	533
118	71	532
119	72	532
120	73	532
121	73	531
122	74	531
123	75	531
124	75	531
125	76	531
126	77	531
127	78	531
128	78	531
129	79	530
130	79	530
131	80	529
132	81	529
133	82	530
134	82	529
135	83	528
136	83	527
137	84	530
138	85	530
139	86	530
140	87	530
141	87	528
142	88	528
143	88	527
144	89	527
145	90	527
146	90	527
147	91	526
148	92	526
149	92	525
150	92	522
151	93	522
152	94	522
153	94	521
154	95	520
155	96	519
156	96	518
157	97	518
158	98	518
159	98	518
160	99	518
161	100	522
162	101	521
163	102	521
164	102	521
165	103	521
166	104	521
167	105	520
168	105	520
169	106	520
170	107	521
171	108	520
172	108	520
173	109	520
174	110	521
175	111	521
176	112	521
177	112	520
178	113	520
179	114	519
180	114	519
181	115	519
182	116	518
183	116	518
184	117	517
185	118	517
186	118	516
187	119	516
188	120	518
189	121	518
190	122	517
191	122	517
192	123	517
193	124	517
194	125	516
195	125	516
196	126	516
197	127	515
198	127	514
199	128	514
200	129	514
201	129	513
202	130	513
203	131	512
204	131	511
205	132	511
206	133	510
207	133	510
208	134	509
209	135	509
210	136	508
211	136	508
212	137	508
